Name,PlayerID
Carson Kelly,608348
Christian Walker,572233
Josh VanMeter,642165
Nick Ahmed,605113
Eduardo Escobar,500871
David Peralta,444482
Ketel Marte,606466
Pavin Smith,656976
Josh Rojas,668942
Asdrúbal Cabrera,452678
Daulton Varsho,662139
Kole Calhoun,594777
Josh Reddick,502210
Stephen Vogt,519390
Tim Locastro,641796
Andrew Young,670370
Drew Ellis,656403
Jake McCarthy,664983
Henry Ramos,592656
Wyatt Mathisen,621500
Ildemaro Vargas,545121
Nick Heath,670084
Geraldo Perdomo,672695
Bryan Holaday,592407
Domingo Leyba,642736
Jake Hager,606993
Stuart Fairchild,656413
Seth Beer,666179
Travis d'Arnaud,518595
Freddie Freeman,518692
Ozzie Albies,645277
Dansby Swanson,621020
Austin Riley,663586
Marcell Ozuna,542303
Guillermo Heredia,628338
Jorge Soler,624585
Adam Duvall,594807
Ehire Adrianza,501303
Joc Pederson,592626
William Contreras,661388
Abraham Almonte,501659
Eddie Rosario,592696
Kevan Smith,607345
Ender Inciarte,542255
Pablo Sandoval,467055
Orlando Arcia,606115
Cristian Pache,665506
Alex Jackson,656577
Johan Camargo,622666
Jonathan Lucroy,518960
Jeff Mathis,425772
Pedro Severino,600474
Ryan Mountcastle,663624
Pat Valaika,642162
Freddy Galvis,520471
Maikel Franco,596748
Austin Hays,669720
Cedric Mullins,656775
Anthony Santander,623993
Trey Mancini,641820
DJ Stewart,621466
Ramón Urías,602104
Ryan McKenna,663630
Kelvin Gutiérrez,642721
Austin Wynns,642851
Jorge Mateo,622761
Richie Martin,621006
Rio Ruiz,547004
Stevie Wilkerson,592859
Chance Sisco,642082
Jahmai Jones,663330
Tyler Nevin,663527
Nick Ciuffo,624419
Christian Vázquez,543877
Bobby Dalbec,666915
Christian Arroyo,624414
Xander Bogaerts,593428
Rafael Devers,646240
Alex Verdugo,657077
Enrique Hernández,571771
Hunter Renfroe,592669
Marwin Gonzalez,503556
Kevin Plawecki,608700
Kyle Schwarber,656941
Franchy Cordero,614173
Danny Santana,542454
Jarren Duran,680776
Michael Chavis,656308
Jonathan Araúz,660620
José Iglesias,578428
Travis Shaw,543768
Jack López,605346
Connor Wong,657136
Yairo Muñoz,622168
Taylor Motter,600301
Yasmani Grandal,518735
José Abreu,547989
César Hernández,514917
Tim Anderson,641313
Yoán Moncada,660162
Andrew Vaughn,683734
Adam Eaton,284566
Yermín Mercedes,606213
Leury Garcia,544725
Brian Goodwin,571718
Eloy Jiménez,650391
Zack Collins,641470
Nick Madrigal,663611
Danny Mendick,664901
Gavin Sheets,657757
Adam Engel,641553
Billy Hamilton,571740
Jake Lamb,571875
Seby Zavala,664874
Jake Burger,669394
Romy Gonzalez,663853
Nick Williams,608384
Luis González,670768
Willson Contreras,575929
Anthony Rizzo,519203
David Bote,623520
Javier Báez,595879
Patrick Wisdom,621550
Rafael Ortega,542364
Jason Heyward,518792
Ian Happ,664023
Kris Bryant,592178
Matt Duffy,592274
Sergio Alcántara,642727
Frank Schwindel,643524
Eric Sogard,519299
Nico Hoerner,663538
Jake Marisnick,545350
Robinson Chirinos,455139
Andrew Romine,461865
Austin Romine,519222
Alfonso Rivas,663845
Nick Martini,605361
Michael Hermosillo,641684
Trayce Thompson,572204
Johneshwy Fargas,641561
Greg Deichmann,656364
Tony Wolters,547172
Trent Giambrone,623508
Jose Lobatón,446653
Erick Castillo,602080
Taylor Gushue,656494
Tyler Payne,665066
Tyler Ladendorf,502285
Tucker Barnhart,571466
Joey Votto,458015
Jonathan India,663697
Kyle Farmer,571657
Eugenio Suárez,553993
Jesse Winker,608385
Tyler Naquin,571980
Nick Castellanos,592206
Tyler Stephenson,663886
Mike Moustakas,519058
Aristides Aquino,606157
Shogo Akiyama,673451
Max Schrock,621011
Nick Senzel,669222
Alex Blandino,607468
Mike Freeman,502273
Delino DeShields,592261
Jose Barrero,676480
TJ Friedl,670770
Scott Heineman,595981
Mark Payton,592622
Alejo Lopez,664670
Austin Hedges,595978
Bobby Bradley,656252
Amed Rosario,642708
José Ramírez,542432
Myles Straw,664702
Josh Naylor,647304
Franmil Reyes,614177
Harold Ramírez,623912
Bradley Zimmer,605548
Yu Chang,644374
Óscar Mercado,640458
Andrés Giménez,665926
Owen Miller,680911
Roberto Pérez,547379
Ernie Clement,676391
Jordan Luplow,656669
Jake Bauers,641343
Daniel Johnson,669288
René Rivera,425784
Wilson Ramos,467092
Ryan Lavarnway,543432
Ben Gamel,592325
Elias Díaz,553869
Brendan Rodgers,663898
Trevor Story,596115
Ryan McMahon,641857
Raimel Tapia,606132
Garrett Hampson,641658
Charlie Blackmon,453568
Yonathan Daza,602074
Joshua Fuentes,658069
Dom Nuñez,624513
Sam Hilliard,656541
Connor Joe,656582
Alan Trejo,676701
Chris Owings,572008
Colton Welker,666213
Matt Adams,571431
Ryan Vilade,668723
Eric Haase,606992
Jonathan Schoop,570731
Willi Castro,650489
Niko Goodrum,592348
Jeimer Candelario,600869
Robbie Grossman,543257
Akil Baddoo,668731
Nomar Mazara,608577
Miguel Cabrera,408234
Harold Castro,605612
Victor Reyes,622682
Zack Short,670097
Derek Hill,656537
Jake Rogers,668670
Daz Cameron,663662
JaCoby Jones,592444
Isaac Paredes,670623
Grayson Greiner,606988
Dustin Garneau,572863
Renato Núñez,600524
Jacob Robson,615699
Martín Maldonado,455117
Yuli Gurriel,493329
Jose Altuve,514888
Carlos Correa,621043
Alex Bregman,608324
Michael Brantley,488726
Kyle Tucker,663656
Yordan Alvarez,670541
Chas McCormick,676801
Aledmys Díaz,649557
Jason Castro,488771
Jake Meyers,676694
Abraham Toro,647351
Robel García,596825
Taylor Jones,622100
Jose Siri,642350
Garrett Stubbs,596117
Jacob Wilson,607111
Ronnie Dawson,669008
Salvador Perez,521692
Carlos Santana,467793
Whit Merrifield,593160
Nicky Lopez,670032
Andrew Benintendi,643217
Hunter Dozier,641531
Hanser Alberto,593643
Ryan O'Hearn,656811
Adalberto Mondesí,609275
Jarrod Dyson,502481
Cam Gallagher,595956
Edward Olivares,658668
Emmanuel Rivera,656896
Kyle Isbel,664728
Sebastián Rivero,665861
Ryan McBroom,643436
Max Stassi,545358
Jared Walsh,665120
David Fletcher,664058
Jack Mayfield,608686
Justin Upton,457708
Brandon Marsh,669016
Taylor Ward,621493
Shohei Ohtani,660271
Juan Lagares,501571
Anthony Rendon,543685
Kurt Suzuki,435559
Luis Rengifo,650859
Jose Rojas,670351
Mike Trout,545361
Jo Adell,666176
Albert Pujols,405395
Kean Wong,642221
Drew Butera,460077
Scott Schebler,594988
Anthony Bemboom,621532
Dexter Fowler,451594
Jon Jay,445055
Matt Thaiss,642136
Jack Kruger,667674
Will Smith,519293
Max Muncy,571970
Trea Turner,607208
Corey Seager,608369
Justin Turner,457759
AJ Pollock,572041
Cody Bellinger,641355
Mookie Betts,605141
Chris Taylor,621035
Gavin Lux,666158
Matt Beaty,607461
Austin Barnes,605131
Zach McKinstry,656716
Billy McKinney,641856
Luke Raley,670042
Sheldon Neuse,641914
Edwin Rios,621458
DJ Peters,656847
Yoshi Tsutsugo,660294
Andy Burns,542992
Zach Reks,676646
Keibert Ruiz,660688
Jorge Alfaro,595751
Jesús Aguilar,542583
Miguel Rojas,500743
Brian Anderson,605119
Corey Dickerson,572816
Starling Marte,516782
Lewis Brinson,621446
Isan Díaz,656371
Jon Berti,542932
Jesús Sánchez,660821
Garrett Cooper,643265
Magneuris Sierra,642423
Sandy León,506702
Joe Panik,605412
Lewin Díaz,650331
Eddy Alvarez,657193
Chad Wallach,595453
José Devers,672701
Nick Fortes,663743
Deven Marrero,571918
Payton Henry,668721
Brian Miller,675649
Monte Harrison,656509
Luis Marté,606336
Omar Narváez,553882
Kolten Wong,543939
Willy Adames,642715
Luis Urías,649966
Christian Yelich,592885
Avisaíl García,541645
Jace Peterson,607054
Lorenzo Cain,456715
Tyrone Taylor,621438
Manny Piña,444489
Keston Hiura,669374
Rowdy Tellez,642133
Daniel Robertson,621002
Pablo Reyes,622569
Luke Maile,571912
Jacob Nottingham,641924
Tim Lopes,621005
Derek Fisher,605233
Corey Ray,641999
Mario Feliciano,666128
Sal Romano,607219
Ryan Jeffers,680777
Miguel Sanó,593934
Jorge Polanco,593871
Andrelton Simmons,592743
Josh Donaldson,518626
Trevor Larnach,663616
Byron Buxton,621439
Max Kepler,596146
Nelson Cruz,112906
Luis Arraez,650333
Mitch Garver,641598
Alex Kirilloff,666135
Willians Astudillo,553902
Nick Gordon,624503
Brent Rooker,667670
Jake Cave,595909
Rob Refsnyder,608701
Kyle Garlick,664247
Ben Rortvedt,666163
Gilberto Celestino,665482
JT Riddle,595375
Tzu-Wei Lin,624407
Travis Blankenhorn,663905
Gary Sánchez,596142
DJ LeMahieu,518934
Gleyber Torres,650402
Gio Urshela,570482
Joey Gallo,608336
Brett Gardner,458731
Aaron Judge,592450
Giancarlo Stanton,519317
Rougned Odor,596059
Luke Voit,572228
Clint Frazier,640449
Kyle Higashioka,543309
Miguel Andujar,609280
Tyler Wade,642180
Aaron Hicks,543305
Mike Ford,645801
Andrew Velazquez,623205
Greg Allen,656185
Chris Gittens,656467
Jay Bruce,457803
Estevan Florial,664314
Ryan LaMarre,534606
Rob Brantly,542963
Jonathan Davis,641505
Mike Tauchman,643565
Trey Amburgey,664011
Hoy Park,660829
James McCann,543510
Pete Alonso,624413
Jeff McNeil,643446
Francisco Lindor,596019
Jonathan Villar,542340
Dominic Smith,642086
Brandon Nimmo,607043
Michael Conforto,624424
Kevin Pillar,607680
Tomás Nido,621512
Luis Guillorme,641645
José Peraza,606299
Brandon Drury,592273
Patrick Mazeika,664850
Albert Almora,546991
Mason Williams,592863
Cameron Maybin,457727
Khalil Lee,666137
Wilfredo Tovar,541600
Brad Hand,543272
Sean Murphy,669221
Matt Olson,621566
Jed Lowrie,476704
Elvis Andrus,462101
Matt Chapman,656305
Mark Canha,592192
Ramón Laureano,657656
Seth Brown,664913
Mitch Moreland,519048
Tony Kemp,643393
Chad Pinder,640461
Josh Harrison,543281
Stephen Piscotty,572039
Yan Gomes,543228
Aramis Garcia,605244
Skye Bolt,621450
Khris Davis,501981
Vimael Machín,605353
Ka'ai Tom,664789
Pete Kozma,518902
Luis Barrera,642456
Austin Allen,664119
Rhys Hoskins,656555
Jean Segura,516416
Didi Gregorius,544369
Alec Bohm,664761
Andrew McCutchen,457705
Odúbel Herrera,546318
Bryce Harper,547180
Brad Miller,543543
Ronald Torreyes,591720
Andrew Knapp,595284
Travis Jankowski,608671
Nick Maton,665155
